 (be) addressed to ～ [動],（～に）宛先を記す(to …)
 squirrel[名],リス
 stable[形],安定した、不変の
 standard[名],基準、標準
 standard[形],標準の、標準的な
 startle[動],びっくりさせる
 startling[形],驚くような
 state[動],述べる、言う
 status[名],地位、立場
 steady[形],安定した、変わらない、着実な
 steel[名],鋼鉄、はがね
 steep[形],（傾斜が）急な、（変化などが）大幅な
 step[動],踏む、前へ出る
 stir[動],かき回す、かき混ぜる
 storage[名],（物の）貯蔵、保管
 strategy[名],戦略
 stream[名],流れ、小川
 stress[名],緊張、圧力、ストレス
 stretch[動],伸ばす、引き延ばす
 strictly[副],厳格に、厳密に
 stride[名],（大股の）一歩、ひとまたぎ
 strike[動],打つ、当たる、ぶつかる、襲う
 strip[動],取り去る
 strip[名],細長い一片
 stubborn[形],頑固な
 stumble[動],つまずく、よろける
 stump[名],切り株
 style[名],スタイル、型、様式
 subject[名],題材、テーマ、被写体、対象者（被験者）
 subsequently[副],その後、後に、続いて
 successful[形],上出来な、成功した、うまくいった
 suddenly[副],突然に
 suffer[動],苦しむ、(苦痛などを)受ける、嫌なことに耐える
 sufficient[形],十分な
 support[動],支える、支持する、扶養する、養う、裏付ける
 suppress[動],抑制する、抑圧する、鎮圧する
 surely[副],確かに、疑いなく
 surprising[形],驚くべき、意外な
 surround[動],囲む、包囲する
 survival[名],生き残ること、生存
 suspend[動],一時中止する、停職（停学）処分にする
 swell[動],膨張する、腫れる、（数量が）増大する
 swiftly[副],すばやく、迅速に
 sword[名],剣、刀
 symbolize[動],象徴する、象徴化する
 sympathy[名],同情、共感
 take[動],（時間が）かかる、～を必要とする
 takeover[名],（権力や支配権の力ずくの）獲得
 talent[名],才能、素質、才能のある人、タレント
 target[動],狙う、目標に定める
 task[名],仕事、職務、課題
 taste[動],～の味がする、～を味わう、～の味見をする
 tease[動],からかう、いじめる
 technique[名],技術
 tempt[動],引きつける、誘惑する、する気にさせる
 tender[形],優しい
 tense[形],ぴんと張った、緊張した
 tension[名],緊張
 territory[名],領土、縄張り
 theater[名],劇場、映画館、劇
 theory[名],理論、学説
 thirst[名],のどの渇き、渇望
 thrill[名],ぞくぞくする感じ、スリル
 tie[動],結ぶ、縛る
 time[名],～回、～度
 title[動],題名をつける
 touch[動],感動させる
 tourism[名],観光業
 trace[名],痕跡、足跡
 track[名],跡、足跡、小道
 tradition[名],伝統
 traffic jam[名],交通渋滞
 traffic[名],交通（量）
 training[名],訓練、教育
 transmit[動],伝える、知らせる、送信する
 treasure[名],財宝、宝物
 trial[名],試み、挑戦
 trial[名],裁判、審理
 tribe[名],部族、種族
 triple[形],三重の、３倍の
 triumph[名],勝利
 tropical[形],熱帯の
 trouble[名],困難、厄介、面倒
 trousers[名],ズボン
 ugly[形],醜い、不格好な
 uncomfortable[形],厄介な、心地よくない
 underwater[形],水面下の、水中の
 unexpected[形],思いがけない、予期しない、意外な
 unite[動],団結させる、団結する、一体化する、統合する
 United States[名],（the ～）アメリカ合衆国
 update[動],最新のものに更新する
 upright[形],直立した、真っすぐな
 urge[動],せきたてる、強く促す
 vacant[形],空いている、使われていない
 valley[名],谷
 van[名],（車の）バン
 variation[名],変種、変異、変化、変動、バリエーション
 vast[形],広大な、非常に大きな
 vehicle[名],乗り物、車両
 veil[名],ベール、覆い隠すもの
 venture[名],冒険、冒険的事業
 verse[名],韻文
 version[名],版、バージョン
 victim[名],犠牲者、被害者、餌食
 Vietnam[名],ベトナム
 vigor[名],活力
 violation[名],違反
