 grid[名],（道路の）碁盤の目、格子、焼き網、（電気、ガスなどの）送電・配管網,知ってる,2020/6/29,,,,,,
 grin[動],ニヤリとする、口をあけて笑う,知ってる,2020/6/28,,,,,,
 ground[動],離陸させない、地上にとどめる、地面に置く,知らない,2021/1/18,,,,,,
 gruesome[形],身の毛がよだつ、陰惨な,知らない,2021/1/18,,,,,,
 handedness[名],利き手（の傾向）,知ってる,2020/6/29,,,,,,
 handlebar[名],ハンドルバー,知ってる,2020/6/29,,,,,,
 handrail[名],（階段などの）手すり、欄干,知ってる,2020/6/28,,,,,,
 hard-wearing[形],丈夫な、長持ちする,知らない,2021/1/18,,,,,,
 harness[動],(自然の力)を利用する、(馬)に馬具を付ける,知ってる,2020/6/29,2,,,,,
 headfirst[副],頭から先に、すぐさま、大急ぎで,知ってる,2020/6/29,,,,,,
 heave[動],持ち上げる,知ってる,2020/6/4,4,,,,,
 hectic[形],慌ただしい、大変忙しい,知ってる,2020/6/8,,,,,,
 hedgerow[名],生け垣,知ってる,2020/6/29,2,,,,,
 hesitancy[名],ためらい、躊躇,知ってる,2021/1/18,,,,,,
 heterogeneous[形],異質のものからなる、混成の,知ってる,2021/1/18,,,,,,
 heyday[名],全盛期、絶頂、盛り,知ってる,2020/6/18,3,,,,,
 hiccup[名],しゃっくり、一時的な障害,知ってる,2020/6/29,,,,,,
 high-rise[形],（ビルなどが）高層の,知ってる,2020/6/28,,,,,,
 highbrow[形],知識人向きの、インテリぶった,知ってる,2020/6/29,2,,,,,
 hoist[動],つり上げる、持ち上げる,知ってる,2020/6/9,2,,,,,
 homeopathy[名],ホメオパシー（同種・同毒療法）,知らない,2021/1/18,,,,,,
 hornet[名],スズメバチ,知ってる,2020/6/28,,,,,,
 hub[名],中心（地）、中核,知ってる,2020/6/19,,,,,,
 humanities[名],人文科学,知ってる,2020/6/28,,,,,,
 hydrosphere[名],水圏、水界,知らない,2021/1/18,,,,,,
 hydrothermal[形],熱水の,知らない,2021/1/18,,,,,,
 hype[名],誇大宣伝,知ってる,2020/6/29,,,,,,
 hypnosis[名],催眠術、催眠状態,知ってる,2020/6/29,,,,,,
 illiterate[形],無学の、読み書きのできない,知ってる,2020/6/18,1,,,,,
 imbibe[動],飲む、吸い込む,知らない,2021/1/18,,,,,,
 immobile[形],動かせない、動けない、静止した,,,,,,,,
 impartial[形],偏らない、偏見のない、公平な,知ってる,2020/6/18,4,,,,,
 imperil[動],危険にさらす,知ってる,2020/6/29,,,,,,
 impressionism[名],印象派,知ってる,2020/6/19,,,,,,
 improvise[動],即興で演奏する、即席に作る,知ってる,2020/6/18,2,,,,,
 impurity[名],不純物、不純、不潔,知ってる,2020/6/28,,,,,,
in-depth,徹底的な、掘り下げた,知らない,2021/1/18,,,,,,
 inaugurate[動],就任させる、始動させる,知ってる,2020/6/3,,,,,,
 incendiary[形],扇動的な、発火力のある,知ってる,2020/6/9,1,,,,,
 incompatible[形],相性が悪い、相いれない、互換性のない,知ってる,2020/6/17,,,,,,
 incongruous[形],不調和な、不釣り合いな,知ってる,2020/6/29,,,,,,
 incubation[名],抱卵、孵化、培養,知らない,2021/1/18,,,,,,
 indict[動],告訴する、訴追する,知ってる,2020/6/8,,,,,,
 indiscriminate[形],無差別の、見境のない,知ってる,2020/6/19,,,,,,
 inexorably[副],厳然と,知ってる,2020/6/29,2,,,,,
 infirmity[名],病気、疾患、虚弱、病弱,知ってる,2020/6/29,,,,,,
 influx[名],流入、到来,知ってる,2020/6/29,1,,,,,
 ingestion[名],摂取,知らない,2021/1/18,,,,,,
 ingrain[動],深く根付かせる,知らない,2021/1/18,,,,,,
 inscribe[動],（文字などを）刻む、記す,知ってる,2020/6/20,1,,,,,
 insecticide[名],殺虫剤,知ってる,2020/6/8,,,,,,
 insoluble[形],（物質が）溶けない,知ってる,2020/6/29,2,,,,,
 installment[名],分割払いの1回分,知ってる,2020/7/2,1,,,,,
 intermittent[形],断続的な、間欠的な,知ってる,2020/6/17,,,,,,
 intertwine[動],を（～と）組み合わせる,知ってる,2020/6/9,2,,,,,
 intolerance[名],不寛容,知ってる,2020/6/28,,,,,,
 intoxicated[形],酩酊した、熱狂した、中毒した,知らない,2021/1/18,,,,,,
 introspection[名],内省、内観,知ってる,2020/6/29,,,,,,
 intrusion[名],（不法）侵入,知ってる,2020/6/29,,,,,,
 intuitive[形],直観による、直観的な、勘の鋭い,知ってる,2020/6/28,,,,,,
 invigorate[動],活性化する、活力を与える,知ってる,2020/6/29,1,,,,,
 iris[名],（眼球の）虹彩,知ってる,2020/6/29,,,,,,
 irreplaceable[形],取り替えられない、かけがえのない,知ってる,2020/6/29,,,,,,
 isotope[名],同位元素,知ってる,2021/1/18,,,,,,
 itinerant[形],あちこち旅して歩く,知ってる,2020/6/18,,,,,,
 jargon[名],特殊用語、業界用語,知ってる,2020/6/20,1,,,,,
 jeopardize[動],危うくする、危機に陥れる、台無しにする,知ってる,2020/6/19,,,,,,
 jet lag[名],時差ボケ,知ってる,2020/6/3,,,,,,
 jolt[動],（急激に）揺さぶる,知ってる,2020/6/18,1,,,,,
 judicious[形],思慮分別のある、賢明な,知ってる,2020/6/9,1,,,,,
 jurisdiction[名],司法権、裁判権、管轄,知ってる,2020/6/8,,,,,,
 kaleidoscope[名],万華鏡、絶えず変化するもの,知ってる,2020/6/28,,,,,,
 kidney[名],腎臓,知ってる,2020/6/3,,,,,,
 kinetic[形],動的な、運動の,知ってる,2021/1/18,,,,,,
 knack[名],こつ、要領の良さ、技術,知ってる,2020/6/19,3,,,,,
 lagoon[名],潟、潟湖、礁湖,知ってる,2020/6/3,,,,,,
 landfill[名],ごみ埋め立て地,知ってる,2020/6/20,3,,,,,
 languish[動],みじめな生活をする、しぼむ、元気がなくなる,知ってる,2020/6/20,,,,,,
 lateral[形],横の、側面の,知ってる,2020/6/19,,,,,,
 latitude[名],緯度,知ってる,2020/6/19,,,,,,
 leafy[形],葉に覆われた、葉の茂った,知ってる,2020/6/28,,,,,,
 leathery[形],革状の,知らない,2021/1/18,,,,,,
 lenticular[形],レンズ状の、レンズの,知らない,2021/1/18,,,,,,
 lethargy[名],無気力、倦怠、無関心,知ってる,2020/6/29,,,,,,
 lift[名],（歌、演説の）軽快な調子,知ってる,2020/6/29,,,,,,
 logician[名],論理学者,知ってる,2020/6/28,,,,,,
 logistics[名],物流,知ってる,2020/7/2,,,,,,
 long-sighted[形],先を見通した、先見の明がある,知ってる,2020/6/29,,,,,,
 longevity[名],長命、長生き、寿命,知ってる,2020/6/29,,,,,,
 lopsided[形],不均衡な、片寄った,知ってる,2020/6/29,4,,,,,
 ludicrous[形],滑稽な、ばかげた,知ってる,2020/6/29,,,,,,
 lush[形],繁茂した、豪勢な,知らない,2021/1/18,,,,,,
 lyric[名],抒情詩、（～ｓで）歌詞,知ってる,2020/6/18,1,,,,,
 makeup[名],構成、組成、構造,知らない,2021/1/18,,,,,,
 malfunction[動],（機械などが）不調になる,知ってる,2021/1/18,,,,,,
 malleable[形],（金属が）可鍛性の、順応性のある,知ってる,2020/6/20,1,,,,,
 malnutrition[名],栄養失調,知らない,2021/1/18,,,,,,
 mandatory[形],義務的な、必須の,知ってる,2020/6/20,1,,,,,
 mangle[動],ずたずたに切る、めちゃめちゃにする、台無しにする,知ってる,2020/6/29,,,,,,
 manipulative[形],操作的な、巧みに操る,知らない,2021/1/18,,,,,,
